机柜	节点	ip
L17	10.2	10.116.11.164
L17	11.1	10.116.11.165
L17	11.2	10.116.11.166
L17	12.2	10.116.11.167
L17	12.1	10.116.11.168
L17	13.1	10.116.11.169
L17	13.2	10.116.11.170
L17	14.2	10.116.11.171
L17	14.1	10.116.11.172
L17	15.1	10.116.11.173
L17	15.2	10.116.11.174
L17	16.2	10.116.11.175
L17	16.1	10.116.11.176
L17	17.2	10.116.11.177
L17	17.1	10.116.11.178
L17	18.2	10.116.11.179
L17	18.1	10.116.11.180
L17	19.1	10.116.11.181
L17	19.2	10.116.11.182
L17	20.1	10.116.11.183
L17	20.2	10.116.11.184
L18	1.1	10.116.11.185
L18	1.2	10.116.11.186
L18	2.1	10.116.11.187
L18	2.2	10.116.11.188
L18	3.2	10.116.11.189
L18	3.1	10.116.11.190
L18	4.2	10.116.11.191
L18	4.1	10.116.11.192
L18	5.1	10.116.11.193
L18	5.2	10.116.11.194
L18	6.1	10.116.11.195
L18	6.2	10.116.11.196
L18	7.1	10.116.11.197
L18	7.2	10.116.11.198
L18	8.2	10.116.11.199
L18	8.1	10.116.11.200
L18	9.2	10.116.11.201
L18	9.1	10.116.11.202
L18	10.1	10.116.11.203
L18	10.2	10.116.11.204
L18	11.1	10.116.11.205
L18	11.2	10.116.11.206
L18	12.2	10.116.11.207
L18	12.1	10.116.11.208
L18	13.1	10.116.11.209
L18	13.2	10.116.11.210
L18	14.2	10.116.11.211
L18	14.1	10.116.11.212
L18	15.1	10.116.11.213
L18	15.2	10.116.11.214
L18	16.1	10.116.11.215
L18	16.2	10.116.11.216
L18	17.1	10.116.11.217
L18	17.2	10.116.11.218
L18	18.1	10.116.11.219
L18	18.2	10.116.11.220
L18	19.1	10.116.11.221
L18	19.2	10.116.11.222
L18	20.1	10.116.11.223
L18	20.2	10.116.11.224
W05	228.1	10.116.24.1
W05	228.2	10.116.24.2
W05	228.3	10.116.24.3
W05	228.4	10.116.24.4
W05	228.5	10.116.24.5
W05	228.6	10.116.24.6
W05	228.7	10.116.24.7
W05	228.8	10.116.24.8
W05	229.1	10.116.24.9
W05	229.2	10.116.24.10
W05	229.3	10.116.24.11
W05	229.4	10.116.24.12
W05	229.5	10.116.24.13
W05	229.6	10.116.24.14
W05	229.7	10.116.24.15
W05	229.8	10.116.24.16
W05	230.1	10.116.24.17
W05	230.2	10.116.24.18
W05	230.3	10.116.24.19
W05	230.4	10.116.24.20
W05	230.5	10.116.24.21
W05	230.6	10.116.24.22
W05	230.7	10.116.24.23
W05	230.8	10.116.24.24
W05	231.1	10.116.24.25
W05	231.2	10.116.24.26
W05	231.3	10.116.24.27
W05	231.4	10.116.24.28
W05	231.5	10.116.24.29
W05	231.6	10.116.24.30
W05	231.7	10.116.24.31
W05	231.8	10.116.24.32
W05	232.1	10.116.24.33
W05	232.2	10.116.24.34
W05	232.3	10.116.24.35
W05	232.4	10.116.24.36
W05	232.5	10.116.24.37
W05	232.6	10.116.24.38
W05	232.7	10.116.24.39
W05	232.8	10.116.24.40
W06	233.1	10.116.24.41
W06	233.2	10.116.24.42
W06	233.3	10.116.24.43
W06	233.4	10.116.24.44
W06	233.5	10.116.24.45
W06	233.6	10.116.24.46
W06	233.7	10.116.24.47
W06	233.8	10.116.24.48
W06	234.1	10.116.24.49
W06	234.2	10.116.24.50
W06	234.3	10.116.24.51
W06	234.4	10.116.24.52
W06	234.5	10.116.24.53
W06	234.6	10.116.24.54
W06	234.7	10.116.24.55
W06	234.8	10.116.24.56
W06	235.1	10.116.24.57
W06	235.2	10.116.24.58
W06	235.3	10.116.24.59
W06	235.4	10.116.24.60
W06	235.5	10.116.24.61
W06	235.6	10.116.24.62
W06	235.7	10.116.24.63
W06	235.8	10.116.24.64
W06	236.1	10.116.24.65
W06	236.2	10.116.24.66
W06	236.3	10.116.24.67
W06	236.4	10.116.24.68
W06	236.5	10.116.24.69
W06	236.6	10.116.24.70
W06	236.7	10.116.24.71
W06	236.8	10.116.24.72
W06	237.1	10.116.24.73
W06	237.2	10.116.24.74
W06	237.3	10.116.24.75
W06	237.4	10.116.24.76
W06	237.5	10.116.24.77
W06	237.6	10.116.24.78
W06	237.7	10.116.24.79
W06	237.8	10.116.24.80
W07	238.1	10.116.24.81
W07	238.2	10.116.24.82
W07	238.3	10.116.24.83
W07	238.4	10.116.24.84
W07	238.5	10.116.24.85
W07	238.6	10.116.24.86
W07	238.7	10.116.24.87
W07	238.8	10.116.24.88
W07	239.1	10.116.24.89
W07	239.2	10.116.24.90
W07	239.3	10.116.24.91
W07	239.4	10.116.24.92
W07	239.5	10.116.24.93
W07	239.6	10.116.24.94
W07	239.7	10.116.24.95
W07	239.8	10.116.24.96
W07	240.1	10.116.24.97
W07	240.2	10.116.24.98
W07	240.3	10.116.24.99
W07	240.4	10.116.24.100

